LANGUAGE_KEY;ENG
LANGUAGE_NAME;English
None selected;None selected
First thoracic vertebra;First thoracic vertebra
Second thoracic vertebra;Second thoracic vertebra
Third cervical vertebra;Third cervical vertebra
Third thoracic vertebra;Third thoracic vertebra
Fourth cervical vertebra;Fourth cervical vertebra
Fourth thoracic vertebra;Fourth thoracic vertebra
Fifth cervical vertebra;Fifth cervical vertebra
Fifth thoracic vertebra;Fifth thoracic vertebra
Sixth cervical vertebra;Sixth cervical vertebra
Sixth thoracic vertebra;Sixth thoracic vertebra
Seventh cervical vertebra;Seventh cervical vertebra
Seventh thoracic vertebra;Seventh thoracic vertebra
Eighth thoracic vertebra;Eighth thoracic vertebra
Ninth thoracic vertebra;Ninth thoracic vertebra
Distal phalanx of left second toe;Distal phalanx of left second toe
Distal phalanx of right second toe;Distal phalanx of right second toe
Distal phalanx of left third toe;Distal phalanx of left third toe
Distal phalanx of left fourth toe;Distal phalanx of left fourth toe
Distal phalanx of left big toe;Distal phalanx of left big toe
Distal phalanx of left little toe;Distal phalanx of left little toe
Distal phalanx of right third toe;Distal phalanx of right third toe
Distal phalanx of right fourth toe;Distal phalanx of right fourth toe
Distal phalanx of right big toe;Distal phalanx of right big toe
Distal phalanx of right little toe;Distal phalanx of right little toe
Intervertebral disk of axis;Intervertebral disk of axis
Intervertebral disk of fourth thoracic vertebra;Intervertebral disk of fourth thoracic vertebra
Intervertebral disk of fifth thoracic vertebra;Intervertebral disk of fifth thoracic vertebra
Intervertebral disk of sixth thoracic vertebra;Intervertebral disk of sixth thoracic vertebra
Intervertebral disk of seventh thoracic vertebra;Intervertebral disk of seventh thoracic vertebra
Intervertebral disk of eighth thoracic vertebra;Intervertebral disk of eighth thoracic vertebra
Intervertebral disk of ninth thoracic vertebra;Intervertebral disk of ninth thoracic vertebra
Intervertebral disk of tenth thoracic vertebra;Intervertebral disk of tenth thoracic vertebra
Intervertebral disk of eleventh thoracic vertebra;Intervertebral disk of eleventh thoracic vertebra
Intervertebral disk of twelfth thoracic vertebra;Intervertebral disk of twelfth thoracic vertebra
Intervertebral disk of first lumbar vertebra;Intervertebral disk of first lumbar vertebra
Intervertebral disk of third cervical vertebra;Intervertebral disk of third cervical vertebra
Intervertebral disk of second lumbar vertebra;Intervertebral disk of second lumbar vertebra
Intervertebral disk of third lumbar vertebra;Intervertebral disk of third lumbar vertebra
Intervertebral disk of fourth lumbar vertebra;Intervertebral disk of fourth lumbar vertebra
Intervertebral disk of fifth lumbar vertebra;Intervertebral disk of fifth lumbar vertebra
Intervertebral disk of fourth cervical vertebra;Intervertebral disk of fourth cervical vertebra
Intervertebral disk of fifth cervical vertebra;Intervertebral disk of fifth cervical vertebra
Intervertebral disk of sixth cervical vertebra;Intervertebral disk of sixth cervical vertebra
Intervertebral disk of seventh cervical vertebra;Intervertebral disk of seventh cervical vertebra
Intervertebral disk of first thoracic vertebra;Intervertebral disk of first thoracic vertebra
Intervertebral disk of second thoracic vertebra;Intervertebral disk of second thoracic vertebra
Intervertebral disk of third thoracic vertebra;Intervertebral disk of third thoracic vertebra
Left tenth rib;Left tenth rib
Left eleventh rib;Left eleventh rib
Left twelfth rib;Left twelfth rib
Left first rib;Left first rib
Left second rib;Left second rib
Left third rib;Left third rib
Left fourth rib;Left fourth rib
Left fifth rib;Left fifth rib
Left sixth rib;Left sixth rib
Left seventh rib;Left seventh rib
Left eighth rib;Left eighth rib
Left ninth rib;Left ninth rib
Left first costal cartilage;Left first costal cartilage
Left first metatarsal bone;Left first metatarsal bone
Left second costal cartilage;Left second costal cartilage
Left third costal cartilage;Left third costal cartilage
Left fourth costal cartilage;Left fourth costal cartilage
Left fifth costal cartilage;Left fifth costal cartilage
Left sixth costal cartilage;Left sixth costal cartilage
Left seventh costal cartilage;Left seventh costal cartilage
Left talus;Left talus
Middle phalanx of left second toe;Middle phalanx of left second toe
Middle phalanx of left third toe;Middle phalanx of left third toe
Middle phalanx of left fourth toe;Middle phalanx of left fourth toe
Middle phalanx of left little toe;Middle phalanx of left little toe
Middle phalanx of right second toe;Middle phalanx of right second toe
Middle phalanx of right third toe;Middle phalanx of right third toe
Middle phalanx of right fourth toe;Middle phalanx of right fourth toe
Middle phalanx of right little toe;Middle phalanx of right little toe
Right tenth rib;Right tenth rib
Right eleventh rib;Right eleventh rib
Right twelfth rib;Right twelfth rib
Right first costal cartilage;Right first costal cartilage
Right first rib;Right first rib
Right second costal cartilage;Right second costal cartilage
Right second rib;Right second rib
Right third costal cartilage;Right third costal cartilage
Right third rib;Right third rib
Right fourth costal cartilage;Right fourth costal cartilage
Right fourth rib;Right fourth rib
Right fifth costal cartilage;Right fifth costal cartilage
Right fifth rib;Right fifth rib
Right sixth costal cartilage;Right sixth costal cartilage
Right sixth rib;Right sixth rib
Right seventh costal cartilage;Right seventh costal cartilage
Right seventh rib;Right seventh rib
Right eighth rib;Right eighth rib
Right ninth rib;Right ninth rib
Right fourth metatarsal bone;Right fourth metatarsal bone
Right cuboid bone;Right cuboid bone
Right intermediate cuneiform bone;Right intermediate cuneiform bone
Right lateral cuneiform bone;Right lateral cuneiform bone
Right medial cuneiform bone;Right medial cuneiform bone
Left tenth costal cartilage;Left tenth costal cartilage
Right tenth costal cartilage;Right tenth costal cartilage
Left eighth costal cartilage;Left eighth costal cartilage
Right eighth costal cartilage;Right eighth costal cartilage
Left ninth costal cartilage;Left ninth costal cartilage
Right ninth costal cartilage;Right ninth costal cartilage
Xiphoid process;Xiphoid process
Atlas;Atlas
Axis;Axis
Body of sternum;Body of sternum
Left second metatarsal bone;Left second metatarsal bone
Left third metatarsal bone;Left third metatarsal bone
Left fourth metatarsal bone;Left fourth metatarsal bone
Left fifth metatarsal bone;Left fifth metatarsal bone
Left calcaneus;Left calcaneus
Left cuboid bone;Left cuboid bone
Left femur;Left femur
Left fibular collateral ligament;Left fibular collateral ligament
Left intermediate cuneiform bone;Left intermediate cuneiform bone
Left lateral cuneiform bone;Left lateral cuneiform bone
Left medial cuneiform bone;Left medial cuneiform bone
Left tibial collateral ligament;Left tibial collateral ligament
Manubrium;Manubrium
Navicular bone of left foot;Navicular bone of left foot
Navicular bone of right foot;Navicular bone of right foot
Proximal phalanx of left big toe;Proximal phalanx of left big toe
Proximal phalanx of right big toe;Proximal phalanx of right big toe
Proximal phalanx of left second toe;Proximal phalanx of left second toe
Proximal phalanx of right second toe;Proximal phalanx of right second toe
Proximal phalanx of left third toe;Proximal phalanx of left third toe
Proximal phalanx of right third toe;Proximal phalanx of right third toe
Proximal phalanx of left fourth toe;Proximal phalanx of left fourth toe
Proximal phalanx of right fourth toe;Proximal phalanx of right fourth toe
Proximal phalanx of left little toe;Proximal phalanx of left little toe
Proximal phalanx of right little toe;Proximal phalanx of right little toe
Right first metatarsal bone;Right first metatarsal bone
Right second metatarsal bone;Right second metatarsal bone
Right third metatarsal bone;Right third metatarsal bone
Right fifth metatarsal bone;Right fifth metatarsal bone
Right calcaneus;Right calcaneus
Right femur;Right femur
Right fibular collateral ligament;Right fibular collateral ligament
Right talus;Right talus
Right tibial collateral ligament;Right tibial collateral ligament
Body of hyoid bone;Body of hyoid bone
Left lesser horn;Left lesser horn
Right lesser horn;Right lesser horn
Left greater horn of hyoid bone;Left greater horn of hyoid bone
Right greater horn of hyoid bone;Right greater horn of hyoid bone
Articular capsule of right atlanto-occipital joint;Articular capsule of right atlanto-occipital joint
Articular capsule of left atlanto-occipital joint;Articular capsule of left atlanto-occipital joint
Left clavicle;Left clavicle
Right clavicle;Right clavicle
Left humerus;Left humerus
Right humerus;Right humerus
First coccygeal vertebra;First coccygeal vertebra
Second coccygeal vertebra;Second coccygeal vertebra
Fourth coccygeal vertebra;Fourth coccygeal vertebra
Third coccygeal vertebra;Third coccygeal vertebra
Interpubic disk;Interpubic disk
Left obturator membrane;Left obturator membrane
Right obturator membrane;Right obturator membrane
Hook of right hamate;Hook of right hamate
Hook of left hamate;Hook of left hamate
Right pisiform;Right pisiform
Left pisiform;Left pisiform
Distal phalanx of right ring finger;Distal phalanx of right ring finger
Distal phalanx of left ring finger;Distal phalanx of left ring finger
Distal phalanx of right little finger;Distal phalanx of right little finger
Distal phalanx of left little finger;Distal phalanx of left little finger
Right trapezoid;Right trapezoid
Left trapezoid;Left trapezoid
Distal phalanx of right index finger;Distal phalanx of right index finger
Distal phalanx of left index finger;Distal phalanx of left index finger
Distal phalanx of right middle finger;Distal phalanx of right middle finger
Distal phalanx of left middle finger;Distal phalanx of left middle finger
Right lunate;Right lunate
Left lunate;Left lunate
Tubercle of right trapezium;Tubercle of right trapezium
Tubercle of left trapezium;Tubercle of left trapezium
Middle phalanx of right little finger;Middle phalanx of right little finger
Middle phalanx of left little finger;Middle phalanx of left little finger
Right capitate;Right capitate
Left capitate;Left capitate
Right scaphoid;Right scaphoid
